Season,round,home,visitor,hgoal,vgoal,tothgoal,totvgoal,totagg_home,totagg_visitor
2000,GroupC-inter,Arsenal,Bayern Munich,2,2,2,2,2,3
2000,GroupD-inter,Lazio,Leeds United,0,1,0,1,3,4
2000,GroupC-inter,Olympique Lyon,Spartak Moskva,3,0,3,0,4,1
2000,GroupD-inter,Real Madrid,RSC Anderlecht,4,1,4,1,4,3
2000,GroupB-inter,Deportivo La Coruna,AC Milan,0,1,0,1,1,2
2000,GroupB-inter,Galatasaray,Paris Saint-Germain,1,0,1,0,1,2
2000,GroupA-inter,Sturm Graz,Manchester United,0,2,0,2,0,5
2000,GroupA-inter,Panathinaikos,Valencia CF,0,0,0,0,1,2
2000,GroupC-inter,Olympique Lyon,Arsenal,0,1,0,1,1,2
2000,GroupC-inter,Bayern Munich,Spartak Moskva,1,0,1,0,4,0
2000,GroupD-inter,Real Madrid,Lazio,3,2,3,2,5,4
2000,GroupD-inter,Leeds United,RSC Anderlecht,2,1,2,1,6,2
2000,GroupB-inter,AC Milan,Paris Saint-Germain,1,1,1,1,2,2
2000,GroupB-inter,Galatasaray,Deportivo La Coruna,1,0,1,0,1,2
2000,GroupA-inter,Valencia CF,Manchester United,0,0,0,0,1,1
2000,GroupA-inter,Sturm Graz,Panathinaikos,2,0,2,0,4,1
2000,GroupB-inter,Paris Saint-Germain,AC Milan,1,1,1,1,2,2
2000,GroupB-inter,Deportivo La Coruna,Galatasaray,2,0,2,0,2,1
2000,GroupA-inter,Manchester United,Valencia CF,1,1,1,1,1,1
2000,GroupA-inter,Panathinaikos,Sturm Graz,1,2,1,2,1,4
2000,GroupC-inter,Arsenal,Olympique Lyon,1,1,1,1,2,1
2000,GroupC-inter,Spartak Moskva,Bayern Munich,0,3,0,3,0,4
2000,GroupD-inter,Lazio,Real Madrid,2,2,2,2,4,5
2000,GroupD-inter,RSC Anderlecht,Leeds United,1,4,1,4,2,6
2000,GroupC-inter,Arsenal,Spartak Moskva,1,0,1,0,2,4
2000,GroupC-inter,Olympique Lyon,Bayern Munich,3,0,3,0,3,1
2000,GroupD-inter,Lazio,RSC Anderlecht,2,1,2,1,2,2
2000,GroupD-inter,Real Madrid,Leeds United,3,2,3,2,5,2
2000,GroupB-inter,Galatasaray,AC Milan,2,0,2,0,4,2
2000,GroupB-inter,Deportivo La Coruna,Paris Saint-Germain,4,3,4,3,7,4
2000,GroupA-inter,Panathinaikos,Manchester United,1,1,1,1,2,4
2000,GroupA-inter,Sturm Graz,Valencia CF,0,5,0,5,0,7
2000,GroupB-inter,AC Milan,Deportivo La Coruna,1,1,1,1,2,1
2000,GroupB-inter,Paris Saint-Germain,Galatasaray,2,0,2,0,2,1
2000,GroupA-inter,Manchester United,Sturm Graz,3,0,3,0,5,0
2000,GroupA-inter,Valencia CF,Panathinaikos,2,1,2,1,2,1
2000,GroupC-inter,Bayern Munich,Arsenal,1,0,1,0,3,2
2000,GroupD-inter,Leeds United,Lazio,3,3,3,3,4,3
2000,GroupC-inter,Spartak Moskva,Olympique Lyon,1,1,1,1,1,4
2000,GroupD-inter,RSC Anderlecht,Real Madrid,2,0,2,0,3,4
2001,GroupC-prelim,RCD Mallorca,Arsenal,1,0,1,0,2,3
2001,GroupA-prelim,AS Roma,Real Madrid,1,2,1,2,2,3
2001,GroupB-prelim,Liverpool,Boavista,1,1,1,1,2,2
2001,GroupB-prelim,Dinamo Kiev,Borussia Dortmund,2,2,2,2,2,3
2001,GroupD-prelim,Galatasaray,Lazio,1,0,1,0,1,1
2001,GroupA-prelim,Lokomotiv Moskva,RSC Anderlecht,1,1,1,1,6,2
2001,GroupD-prelim,Nantes,PSV Eindhoven,4,1,4,1,4,1
2001,GroupC-prelim,Schalke 04,Panathinaikos,0,2,0,2,0,4
2001,GroupF-prelim,Fenerbahce,Barcelona,0,3,0,3,0,4
2001,GroupF-prelim,Olympique Lyon,Bayer Leverkusen,0,1,0,1,4,3
2001,GroupH-prelim,Bayern Munich,Sparta Praha,0,0,0,0,1,0
2001,GroupE-prelim,Juventus,Celtic,3,2,3,2,6,6
2001,GroupG-prelim,Deportivo La Coruna,Olympiacos,2,2,2,2,3,3
2001,GroupE-prelim,Rosenborg BK,FC Porto,1,2,1,2,1,3
2001,GroupH-prelim,Spartak Moskva,Feyenoord,2,2,2,2,3,4
2001,GroupG-prelim,Manchester United,Lille OSC,1,0,1,0,2,1
2001,GroupC-prelim,Arsenal,Schalke 04,3,2,3,2,4,5
2001,GroupA-prelim,RSC Anderlecht,AS Roma,0,0,0,0,1,1
2001,GroupB-prelim,Boavista,Dinamo Kiev,3,1,3,1,3,2
2001,GroupB-prelim,Borussia Dortmund,Liverpool,0,0,0,0,0,2
2001,GroupD-prelim,PSV Eindhoven,Galatasaray,3,1,3,1,3,3
2001,GroupD-prelim,Lazio,Nantes,1,3,1,3,1,4
2001,GroupA-prelim,Real Madrid,Lokomotiv Moskva,4,0,4,0,4,2
2001,GroupC-prelim,Panathinaikos,RCD Mallorca,2,0,2,0,2,1
2001,GroupG-prelim,Deportivo La Coruna,Manchester United,2,1,2,1,5,3
2001,GroupF-prelim,Bayer Leverkusen,Barcelona,2,1,2,1,3,3
2001,GroupH-prelim,Spartak Moskva,Bayern Munich,1,3,1,3,2,8
2001,GroupE-prelim,Celtic,FC Porto,1,0,1,0,1,3
2001,GroupF-prelim,Fenerbahce,Olympique Lyon,0,1,0,1,1,4
2001,GroupH-prelim,Sparta Praha,Feyenoord,4,0,4,0,6,0
2001,GroupE-prelim,Rosenborg BK,Juventus,1,1,1,1,1,2
2001,GroupG-prelim,Lille OSC,Olympiacos,3,1,3,1,4,3
2001,GroupC-prelim,Panathinaikos,Arsenal,1,0,1,0,2,2
2001,GroupA-prelim,AS Roma,Lokomotiv Moskva,2,1,2,1,3,1
2001,GroupB-prelim,Boavista,Borussia Dortmund,2,1,2,1,3,3
2001,GroupB-prelim,Liverpool,Dinamo Kiev,1,0,1,0,3,1
2001,GroupD-prelim,Nantes,Galatasaray,0,1,0,1,0,1
2001,GroupD-prelim,PSV Eindhoven,Lazio,1,0,1,0,2,2
2001,GroupC-prelim,Schalke 04,RCD Mallorca,0,1,0,1,4,1
2001,GroupA-prelim,Real Madrid,RSC Anderlecht,4,1,4,1,6,1
2001,GroupF-prelim,Barcelona,Olympique Lyon,2,0,2,0,5,2
2001,GroupF-prelim,Bayer Leverkusen,Fenerbahce,2,1,2,1,4,2
2001,GroupH-prelim,Feyenoord,Bayern Munich,2,2,2,2,3,5
2001,GroupE-prelim,Celtic,Rosenborg BK,1,0,1,0,1,2
2001,GroupG-prelim,Lille OSC,Deportivo La Coruna,1,1,1,1,2,2
2001,GroupE-prelim,FC Porto,Juventus,0,0,0,0,1,3
2001,GroupG-prelim,Olympiacos,Manchester United,0,2,0,2,0,5
2001,GroupH-prelim,Sparta Praha,Spartak Moskva,2,0,2,0,4,2
2001,GroupC-prelim,Arsenal,Panathinaikos,2,1,2,1,2,2
2001,GroupA-prelim,Lokomotiv Moskva,AS Roma,0,1,0,1,1,3
2001,GroupB-prelim,Borussia Dortmund,Boavista,2,1,2,1,3,3
2001,GroupB-prelim,Dinamo Kiev,Liverpool,1,2,1,2,1,3
2001,GroupD-prelim,Galatasaray,Nantes,0,0,0,0,1,0
2001,GroupD-prelim,Lazio,PSV Eindhoven,2,1,2,1,2,2
2001,GroupC-prelim,RCD Mallorca,Schalke 04,0,4,0,4,1,4
2001,GroupA-prelim,RSC Anderlecht,Real Madrid,0,2,0,2,1,6
2001,GroupG-prelim,Manchester United,Deportivo La Coruna,2,3,2,3,3,5
2001,GroupF-prelim,Barcelona,Bayer Leverkusen,2,1,2,1,3,3
2001,GroupH-prelim,Bayern Munich,Spartak Moskva,5,1,5,1,8,2
2001,GroupE-prelim,FC Porto,Celtic,3,0,3,0,3,1
2001,GroupF-prelim,Olympique Lyon,Fenerbahce,3,1,3,1,4,1
2001,GroupH-prelim,Feyenoord,Sparta Praha,0,2,0,2,0,6
